Hãng xe,Dòng xe,Đời xe,Phiên bản,Màu xe,Công tơ mét (km),Nhập khẩu,Tình trạng,Giá (VNĐ)
Mazda,CX-5,2022,AT,Trắng,11569,Nhập khẩu Mỹ,Rất tốt,901000000
Toyota,Land Cruiser Prado,2015,MT,Đỏ,185556,Trong nước,Trung bình,991000000
Mitsubishi,Attrage,2013,MT,Bạc,92421,Nhập khẩu Nhật,Trung bình,331000000
Hyundai,Palisade,2020,S,Đen,30997,Nhập khẩu Úc,Tốt,1589000000
Nissan,X-Trail,2015,S,Đen,29329,Trong nước,Rất tốt,688000000
Honda,Accord,2017,S,Trắng,29327,Nhập khẩu Nhật,Tốt,999000000
Kia,Sonet,2026,MT,Xám,418,Trong nước,Mới,611000000
Mitsubishi,Attrage,2025,S,Xanh,14078,Nhập khẩu,Mới,477000000
Suzuki,Ciaz,2015,MT,Trắng,70549,Nhập khẩu,Tốt,290000000
BMW,X7,2021,LUX,Ghi,38318,Nhập khẩu Úc,Tốt,7363000000
Toyota,Vios,2024,MT,Bạc,145,Trong nước,Mới,539000000
Hyundai,Stargazer,2017,MT,Xám,212695,Nhập khẩu Nhật,Trung bình,200000000
Suzuki,XL7,2018,MT,Trắng,82884,Nhập khẩu Nhật,Trung bình,329000000
Porsche,Macan,2025,LUX,Đen,1670,Nhập khẩu Úc,Mới,5377000000
Kia,Carnival,2014,MT,Nâu,31037,Trong nước,Trung bình,717000000
Kia,Sonet,2014,AT,Đen,31143,Trong nước,Tốt,351000000
Toyota,Raize,2024,AT,Đen,2539,Trong nước,Mới,685000000
Toyota,Camry,2024,2.5G,Đen,5207,Nhập khẩu Úc,Mới,1563000000
Toyota,Fortuner,2020,SR5,Bạc,23007,Nhập khẩu,Tốt,833000000
Hyundai,Accent,2024,MT,Xám,2409,Nhập khẩu Úc,Mới,702000000
Suzuki,XL7,2014,LUX,Xanh,72050,Nhập khẩu Nhật,Trung bình,368000000
Chevrolet,Trailblazer,2015,LUX,Đen,28262,Nhập khẩu Nhật,Tốt,570000000
Lexus,RX,2013,S,Bạc,39003,Nhập khẩu Nhật,Tốt,3414000000
Ford,Mustang,2017,S,Xám,45095,Nhập khẩu Úc,Trung bình,1886000000
Ford,EcoSport,2020,MT,Đen,24005,Trong nước,Tốt,466000000
Honda,Jazz,2020,AT,Xám,45372,Trong nước,Tốt,412000000
Hyundai,Stargazer,2015,MT,Nâu,32250,Nhập khẩu Nhật,Tốt,487000000
Hyundai,Ioniq 5,2026,S,Cam,5054,Nhập khẩu Nhật,Mới,2551000000
Nissan,Navara,2022,LUX,Xám,17565,Trong nước,Rất tốt,580000000
Hyundai,Elantra,2019,AT,Xanh,16807,Nhập khẩu,Tốt,668000000
Nissan,Leaf,2022,AT,Bạc,18094,Trong nước,Rất tốt,1024000000
Hyundai,Accent,2013,AT,Trắng,30282,Trong nước,Tốt,261000000
Kia,Carens,2015,MT,Đỏ,23699,Nhập khẩu Nhật,Rất tốt,763000000
Mazda,BT-50,2021,AT,Cam,78394,Trong nước,Trung bình,443000000
Ford,Escape,2023,MT,Xanh,52188,Nhập khẩu,Tốt,957000000
Mazda,MX-5,2018,AT,Đỏ,77788,Nhập khẩu Nhật,Tốt,1934000000
Honda,HR-V,2015,LUX,Đen,39980,Nhập khẩu,Tốt,562000000
Toyota,Veloz,2017,AT,Xám,25652,Nhập khẩu Úc,Tốt,546000000
Land Rover,Discovery,2016,S,Đen,83401,Trong nước,Trung bình,2692000000
Mazda,CX-5,2023,Premium,Trắng,13121,Trong nước,Rất tốt,924000000
Toyota,Corolla Cross,2018,AT,Cam,19945,Trong nước,Tốt,460000000
Honda,Accord,2022,AT,Đỏ,14569,Nhập khẩu,Rất tốt,1553000000
Honda,City,2014,MT,Trắng,21924,Nhập khẩu,Rất tốt,432000000
Mazda,BT-50,2023,MT,Bạc,38605,Nhập khẩu Úc,Rất tốt,1031000000
Ford,Escape,2018,MT,Xám,26379,Nhập khẩu Nhật,Tốt,608000000
Mazda,MX-5,2022,LUX,Bạc,20207,Nhập khẩu,Rất tốt,1942000000
Honda,Jazz,2018,LUX,Xanh,29194,Nhập khẩu,Tốt,361000000
Toyota,Hilux,2016,LUX,Đỏ,60376,Trong nước,Trung bình,425000000
Toyota,Wigo,2013,MT,Bạc,63517,Trong nước,Trung bình,236000000
Peugeot,5008,2024,S,Đỏ,1430,Nhập khẩu Nhật,Mới,1601000000
Kia,Carens,2016,LUX,Bạc,212104,Trong nước,Trung bình,219000000
Porsche,Cayenne,2018,S,Nâu,71705,Nhập khẩu Nhật,Tốt,7893000000
Mazda,CX-30,2020,LUX,Cam,74517,Nhập khẩu Úc,Trung bình,733000000
Mazda,MX-5,2013,AT,Xám,143868,Nhập khẩu Nhật,Trung bình,770000000
Mazda,CX-30,2020,AT,Trắng,30954,Nhập khẩu Úc,Tốt,623000000
Mazda,CX-30,2021,S,Trắng,68637,Nhập khẩu,Trung bình,435000000
Suzuki,Crossover,2026,LUX,Xanh,648,Nhập khẩu Nhật,Mới,1071000000
Suzuki,Crossover,2012,MT,Bạc,31997,Nhập khẩu Mỹ,Trung bình,487000000
Toyota,Yaris,2026,S,Đỏ,323,Trong nước,Mới,638000000
Toyota,Wigo,2012,LUX,Đen,41644,Nhập khẩu Mỹ,Tốt,221000000
Toyota,Camry,2020,2.5Q,Xám,21318,Trong nước,Tốt,700000000
Mercedes-Benz,A-Class,2020,LUX,Xám,17280,Nhập khẩu Nhật,Tốt,2001000000
Kia,Carens,2012,S,Trắng,117050,Trong nước,Trung bình,258000000
Nissan,Leaf,2014,AT,Đen,44267,Trong nước,Tốt,652000000
Chevrolet,Trailblazer,2020,S,Trắng,17585,Nhập khẩu Mỹ,Rất tốt,927000000
Peugeot,2008,2018,MT,Ghi,44731,Nhập khẩu Nhật,Trung bình,517000000
Kia,Carens,2017,S,Bạc,28354,Nhập khẩu Úc,Tốt,585000000
Nissan,Almera,2017,MT,Đen,109126,Trong nước,Trung bình,171000000
Kia,Morning,2026,S,Xám,542,Nhập khẩu,Mới,389000000
Kia,Seltos,2016,LUX,Trắng,250000,Trong nước,Trung bình,177000000
Honda,Civic,2015,RS,Vàng,101371,Nhập khẩu,Trung bình,354000000
Honda,CR-V,2016,RX,Xám,32184,Nhập khẩu Nhật,Tốt,771000000
Toyota,Wigo,2013,LUX,Bạc,20304,Trong nước,Tốt,180000000
Mitsubishi,Outlander,2013,AT,Bạc,112944,Nhập khẩu Nhật,Trung bình,602000000
Hyundai,Creta,2017,AT,Xanh,87490,Nhập khẩu Úc,Trung bình,432000000
Toyota,Hilux,2020,AT,Vàng,40030,Trong nước,Tốt,674000000
Mitsubishi,Attrage,2018,S,Nâu,71058,Nhập khẩu Úc,Trung bình,258000000
Hyundai,Kona,2013,MT,Xám,24231,Nhập khẩu,Trung bình,416000000
Mercedes-Benz,GLS,2013,S,Ghi,44414,Trong nước,Trung bình,2882000000
Ford,Everest,2022,S,Trắng,6724,Trong nước,Rất tốt,1340000000
Audi,A6,2013,MT,Đen,129369,Nhập khẩu,Trung bình,1568000000
Hyundai,Santa Fe,2025,S,Cam,6834,Nhập khẩu,Mới,2024000000
Suzuki,Vitara,2013,AT,Trắng,42100,Nhập khẩu Úc,Tốt,441000000
Hyundai,Ioniq 5,2015,LUX,Vàng,23611,Trong nước,Trung bình,1304000000
Honda,Jazz,2018,MT,Đỏ,29154,Nhập khẩu,Tốt,423000000
Hyundai,Accent,2017,AT,Trắng,41632,Nhập khẩu Nhật,Tốt,269000000
Nissan,Z,2018,MT,Trắng,64699,Trong nước,Trung bình,1670000000
Hyundai,Creta,2023,X,Xám,19208,Trong nước,Rất tốt,828000000
Hyundai,Ioniq 5,2019,MT,Đen,97925,Nhập khẩu,Trung bình,1273000000
Honda,City,2016,RS,Trắng,55148,Nhập khẩu Mỹ,Tốt,488000000
Suzuki,Ciaz,2025,LUX,Ghi,891,Nhập khẩu,Mới,620000000
Hyundai,Palisade,2024,LUX,Đen,8743,Trong nước,Mới,1924000000
Toyota,Raize,2021,LUX,Trắng,42899,Nhập khẩu,Tốt,483000000
Hyundai,Santa Fe,2026,AT,Xanh,5767,Nhập khẩu Úc,Mới,2228000000
Hyundai,Creta,2019,X,Đen,71007,Trong nước,Trung bình,399000000
Ford,Focus,2014,MT,Bạc,57444,Nhập khẩu Nhật,Rất tốt,583000000
Toyota,Veloz,2025,AT,Xanh,5177,Nhập khẩu,Mới,740000000
Suzuki,XL7,2016,LUX,Bạc,50679,Nhập khẩu Mỹ,Trung bình,415000000
Toyota,Fortuner,2017,MT,Xanh,21416,Nhập khẩu,Trung bình,891000000
Kia,Sportage,2020,MT,Bạc,12625,Trong nước,Tốt,847000000
Mazda,Mazda6,2015,LUX,Xám,21756,Trong nước,Tốt,623000000
Kia,Sorento,2016,S,Đỏ,75645,Nhập khẩu Nhật,Tốt,794000000
Hyundai,Stargazer,2015,AT,Xanh,40756,Nhập khẩu Nhật,Trung bình,451000000
Honda,Accord,2016,LUX,Xám,59074,Nhập khẩu Nhật,Rất tốt,780000000
Kia,Carens,2019,MT,Đen,105488,Nhập khẩu,Trung bình,414000000
Mitsubishi,Outlander,2020,MT,Trắng,16594,Trong nước,Tốt,995000000
Nissan,Leaf,2016,LUX,Đỏ,49055,Trong nước,Trung bình,734000000
Audi,Q3,2019,LUX,Trắng,68532,Nhập khẩu Úc,Trung bình,1426000000
Hyundai,Tucson,2017,LUX,Nâu,34289,Nhập khẩu Mỹ,Trung bình,656000000
Kia,Sonet,2020,AT,Đen,11842,Trong nước,Rất tốt,470000000
Mazda,Mazda6,2017,S,Cam,38817,Nhập khẩu Nhật,Trung bình,772000000
Kia,Sonet,2013,AT,Trắng,29669,Nhập khẩu Úc,Tốt,440000000
Toyota,Corolla Altis,2025,LUX,Bạc,18584,Trong nước,Rất tốt,732000000
Toyota,Fortuner,2025,MT,Ghi,11556,Nhập khẩu,Mới,1458000000
Hyundai,Ioniq 5,2019,AT,Nâu,53132,Nhập khẩu,Trung bình,993000000
Toyota,Land Cruiser Prado,2023,LUX,Bạc,33721,Trong nước,Trung bình,2187000000
Mitsubishi,Xforce,2015,S,Xám,109538,Trong nước,Trung bình,320000000
Hyundai,Tucson,2015,AT,Bạc,31357,Nhập khẩu Nhật,Rất tốt,797000000
Toyota,Yaris,2019,MT,Trắng,99770,Nhập khẩu,Tốt,485000000
Hyundai,Accent,2018,AT,Bạc,44453,Nhập khẩu,Tốt,397000000
Volvo,XC60,2026,LUX,Trắng,11531,Nhập khẩu,Mới,3959000000
Ford,EcoSport,2021,AT,Ghi,62077,Nhập khẩu,Tốt,441000000
Honda,CR-V,2014,RX,Đỏ,41050,Trong nước,Rất tốt,775000000
Honda,City,2017,MT,Đỏ,26412,Nhập khẩu Mỹ,Tốt,374000000
Toyota,Corolla Altis,2019,S,Trắng,24830,Nhập khẩu Nhật,Tốt,697000000
Toyota,Wigo,2014,AT,Xanh,50638,Trong nước,Tốt,247000000
Toyota,Yaris,2023,MT,Bạc,28853,Nhập khẩu Nhật,Rất tốt,611000000
Suzuki,Ciaz,2016,MT,Trắng,128423,Trong nước,Trung bình,190000000
Hyundai,Elantra,2016,LUX,Bạc,20383,Nhập khẩu Nhật,Tốt,591000000
Mazda,BT-50,2017,S,Trắng,59318,Nhập khẩu,Rất tốt,776000000
Chevrolet,Trailblazer,2013,AT,Vàng,49715,Nhập khẩu,Tốt,399000000
Toyota,Innova,2018,Venturer,Xám,24544,Trong nước,Tốt,497000000
Peugeot,3008,2025,AT,Trắng,893,Nhập khẩu Úc,Mới,1444000000
Nissan,Z,2026,MT,Trắng,2883,Nhập khẩu,Mới,4350000000
Suzuki,XL7,2015,LUX,Đen,177471,Nhập khẩu Nhật,Trung bình,368000000
Hyundai,Creta,2016,X,Xám,41471,Nhập khẩu,Tốt,655000000
Honda,Accord,2026,LUX,Cam,5120,Trong nước,Mới,1506000000
Honda,Civic,2021,AT,Đen,37924,Nhập khẩu Mỹ,Rất tốt,782000000
Hyundai,Ioniq 5,2019,MT,Đen,32175,Trong nước,Rất tốt,1627000000
Kia,K5,2014,S,Đen,216228,Nhập khẩu,Trung bình,322000000
Hyundai,Santa Fe,2016,LUX,Đen,200510,Nhập khẩu Úc,Trung bình,401000000
Toyota,Wigo,2026,S,Đỏ,2030,Nhập khẩu Úc,Mới,710000000
Mitsubishi,Xforce,2026,LUX,Cam,4813,Trong nước,Mới,654000000
Hyundai,Stargazer,2013,LUX,Xám,39686,Nhập khẩu,Trung bình,564000000
Hyundai,Accent,2019,SE,Đen,27739,Nhập khẩu Mỹ,Tốt,390000000
Ford,EcoSport,2016,MT,Đen,22067,Nhập khẩu Nhật,Rất tốt,349000000
Ford,Mustang,2012,MT,Trắng,71727,Trong nước,Tốt,1134000000
Hyundai,Santa Fe,2014,LUX,Trắng,58418,Nhập khẩu Úc,Tốt,1060000000
Kia,Carens,2016,S,Xám,22906,Nhập khẩu,Tốt,551000000
Mazda,CX-5,2021,AT,Đen,17512,Trong nước,Tốt,812000000
Kia,EV6,2016,AT,Đen,151387,Nhập khẩu,Trung bình,1026000000
Ford,Focus,2018,MT,Xanh,25406,Trong nước,Rất tốt,448000000
Mitsubishi,Xpander,2019,LUX,Bạc,20948,Nhập khẩu Nhật,Trung bình,434000000
Toyota,Innova,2014,V,Nâu,56974,Nhập khẩu Úc,Tốt,471000000
Ford,Escape,2019,MT,Trắng,176273,Nhập khẩu Mỹ,Trung bình,477000000
Ford,Focus,2013,LUX,Đen,35242,Trong nước,Tốt,372000000
Toyota,Yaris,2020,MT,Xanh,35648,Nhập khẩu,Tốt,505000000
Mitsubishi,Xforce,2013,LUX,Trắng,98863,Nhập khẩu Nhật,Trung bình,320000000
Honda,Jazz,2016,AT,Trắng,34923,Nhập khẩu Úc,Rất tốt,464000000
Honda,City,2026,AT,Xám,9119,Nhập khẩu,Mới,512000000
Volvo,XC60,2012,AT,Bạc,45218,Nhập khẩu Mỹ,Tốt,2077000000
Hyundai,Santa Fe,2015,AT,Bạc,75027,Nhập khẩu Úc,Trung bình,880000000
Mazda,MX-5,2024,AT,Bạc,7026,Trong nước,Mới,2001000000
Kia,Sportage,2022,MT,Trắng,15743,Trong nước,Rất tốt,949000000
Mazda,Mazda6,2020,S,Trắng,12176,Nhập khẩu Nhật,Tốt,828000000
Toyota,Camry,2025,2.0G,Bạc,12625,Nhập khẩu Úc,Mới,1108000000
Nissan,Navara,2014,S,Đỏ,41274,Trong nước,Rất tốt,515000000
Nissan,Kicks,2017,MT,Nâu,31353,Nhập khẩu Úc,Tốt,467000000
Nissan,Leaf,2023,LUX,Trắng,5582,Trong nước,Rất tốt,1290000000
Toyota,Yaris,2024,S,Đen,6256,Nhập khẩu,Mới,569000000
Mitsubishi,Attrage,2022,AT,Trắng,20845,Nhập khẩu Nhật,Rất tốt,351000000
Toyota,Hilux,2026,LUX,Bạc,117,Trong nước,Mới,1062000000
Toyota,Fortuner,2020,MT,Bạc,26505,Nhập khẩu Nhật,Tốt,1143000000
Toyota,Land Cruiser Prado,2013,LUX,Bạc,34125,Nhập khẩu,Rất tốt,2551000000
Toyota,Raize,2014,S,Đen,76986,Trong nước,Trung bình,289000000
Toyota,Vios,2012,AT,Trắng,30538,Nhập khẩu Nhật,Trung bình,295000000
Chevrolet,Colorado,2025,S,Trắng,8219,Nhập khẩu Nhật,Mới,913000000
Honda,Civic,2012,AT,Xám,46892,Nhập khẩu,Tốt,599000000
Toyota,Wigo,2022,LUX,Đen,43644,Nhập khẩu,Tốt,362000000
Mitsubishi,Outlander,2026,MT,Trắng,1035,Trong nước,Mới,1657000000
Nissan,Kicks,2015,S,Vàng,42942,Trong nước,Tốt,522000000
Toyota,Innova,2020,Venturer,Trắng,12770,Nhập khẩu Nhật,Rất tốt,732000000
Toyota,Hilux,2024,MT,Đen,18103,Nhập khẩu Nhật,Rất tốt,1138000000
Ford,Mustang,2015,AT,Đen,135408,Nhập khẩu Mỹ,Trung bình,1856000000
Peugeot,5008,2020,LUX,Trắng,16861,Nhập khẩu Mỹ,Rất tốt,1358000000
Toyota,Veloz,2012,MT,Đỏ,79331,Trong nước,Tốt,428000000
Ford,Explorer,2014,MT,Xanh,113471,Trong nước,Trung bình,671000000
Mazda,Mazda6,2024,MT,Bạc,5670,Nhập khẩu Úc,Mới,1293000000
Honda,Civic,2013,TYPE R,Trắng,61485,Nhập khẩu,Tốt,405000000
Toyota,Wigo,2018,S,Trắng,25521,Nhập khẩu,Trung bình,206000000
Ford,Ranger,2013,LUX,Ghi,25374,Nhập khẩu,Tốt,838000000
Suzuki,Crossover,2012,AT,Trắng,145131,Nhập khẩu Mỹ,Trung bình,277000000
Toyota,Land Cruiser Prado,2015,MT,Trắng,146872,Nhập khẩu,Trung bình,1689000000
Kia,Morning,2022,MT,Vàng,19037,Nhập khẩu,Rất tốt,312000000
Hyundai,Stargazer,2012,S,Xám,42772,Trong nước,Trung bình,382000000
Suzuki,Ertiga,2016,S,Đen,43626,Nhập khẩu,Tốt,337000000
Honda,Accord,2017,MT,Trắng,91195,Nhập khẩu Nhật,Trung bình,743000000
Toyota,Vios,2015,G,Xám,145075,Trong nước,Trung bình,207000000
Mazda,CX-8,2023,AT,Đen,35535,Nhập khẩu,Tốt,863000000
BMW,X7,2026,S,Đen,10594,Nhập khẩu,Mới,6849000000
Nissan,Leaf,2020,S,Xám,33628,Nhập khẩu,Tốt,1416000000
Suzuki,Vitara,2017,AT,Đỏ,24834,Nhập khẩu Úc,Tốt,517000000
Kia,EV6,2025,S,Bạc,1234,Nhập khẩu Nhật,Mới,2898000000
Toyota,Raize,2015,S,Đen,145852,Nhập khẩu Nhật,Trung bình,243000000
Kia,K5,2019,AT,Trắng,50434,Trong nước,Tốt,617000000
Honda,City,2012,MT,Bạc,20508,Trong nước,Tốt,252000000
Suzuki,Vitara,2014,AT,Trắng,25884,Nhập khẩu Nhật,Tốt,431000000
Honda,Jazz,2026,S,Ghi,7624,Nhập khẩu,Mới,872000000
Toyota,Veloz,2020,S,Đỏ,10116,Nhập khẩu Úc,Rất tốt,652000000
Toyota,Veloz,2021,LUX,Xám,14032,Nhập khẩu Úc,Rất tốt,816000000
Mazda,MX-5,2015,AT,Đen,63763,Nhập khẩu,Trung bình,990000000
Ford,EcoSport,2025,MT,Đỏ,8241,Trong nước,Mới,580000000
